Date,債券ETF,債券型ETF,債券ETF是什麼,債券ETF有哪些,債券ETF推薦,債券ETF比較,債券ETF怎麼選,債券ETF怎麼買,美國公債ETF,美債ETF,公債ETF,投資級公司債ETF,非投資級債ETF,新興市場債ETF,新興市場投資級債ETF,新興市場公司債ETF,美元債ETF,企業債ETF,長債ETF,長天期美債ETF,20年美債ETF,美國20年公債ETF,亞洲債券ETF,美國高收益債ETF,海外債券ETF,美元公司債ETF,債券ETF殖利率,債券ETF報酬率,月配債券ETF,高配息債券ETF,高息債券ETF,美債ETF配息,美債ETF殖利率,投資級債ETF配息,投資級債ETF殖利率,債券ETF配息排行,降息債券ETF,降息長債,利率債券ETF,聯準會降息美債,美國降息債券ETF,降息長天期債券ETF,債券ETF風險,債券ETF匯率風險,債券ETF利率風險,債券ETF信用風險,債券ETF會賠錢嗎,債券ETF推薦比較,美債ETF推薦,00679B,00726B,國泰新興投等債,國泰優選非投等債,00734B,00754B,復華能源債,復華製藥債,00760B,復華新興企業債
2021-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-08-15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-08-22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-09-12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-09-26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-10-03,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
2021-10-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,,0,0,0,0,0
