Date,產業ETF,產業ETF推薦,產業ETF比較,產業ETF怎麼選,ETF怎麼選,ETF申購,半導體ETF風險,半導體庫存,半導體漲價,AI股修正,人形機器人ETF,綠能ETF,生技新藥,軍工ETF,航運ETF,能源ETF,金融ETF,5G ETF,新能源ETF,醫療ETF,ETF規模,ETF規模創新高,ETF單位數,ETF折溢價,ETF溢價過高,ETF淨值,ETF資金流入,科技ETF資金流入,ETF泡沫,ETF追高,ETF套牢,現在買半導體ETF會不會太晚,科技股修正,半導體下跌,AI ETF風險,產業ETF風險,產業ETF會賠錢嗎,ETF調整成分股,ETF換股,ETF調節,科技ETF成分股,產業ETF成分股,ETF換股名單,00892,富邦台灣半導體,00891,00935,野村台灣新科技50,中信綠能電動車,00935 除息,00893 淨值,00892 vs 00904,00891 vs 00892
2021-08-08,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,,34,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,76,76,28,0,0,0,0,100,0,
2021-08-15,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,12,0,0,26,,29,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,90,48,34,0,0,0,0,50,0,
2021-08-22,0,,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,,22,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,82,58,28,0,0,31,0,49,0,
2021-08-29,0,,0,0,0,4,0,0,0,0,0,100,0,0,0,0,20,91,0,0,0,0,0,0,,25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,86,68,35,0,0,92,100,47,0,
2021-09-05,0,,0,0,0,0,0,0,0,0,0,62,0,0,0,0,18,0,0,0,0,0,0,0,,30,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,75,77,29,0,0,61,0,45,0,
2021-09-12,0,,0,0,0,4,0,0,0,0,0,60,0,0,0,0,0,79,0,0,0,0,0,0,,23,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,55,0,22,0,0,100,0,54,0,
2021-09-19,0,,0,0,91,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,,15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,42,0,18,0,0,41,0,0,0,
2021-09-26,0,,0,0,0,0,0,0,0,0,0,52,0,0,0,0,18,0,0,0,0,0,0,0,,24,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,69,0,23,0,0,63,0,0,0,
2021-10-03,0,,0,0,0,0,0,0,0,0,0,29,0,0,0,38,22,46,0,0,0,0,0,0,,28,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,69,0,29,0,0,40,0,0,0,
2021-10-10,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,,23,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,48,0,23,0,0,43,0,0,0,
2021-10-17,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,21,,25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,56,0,22,0,0,26,0,0,0,
2021-10-24,0,,0,0,0,0,0,0,0,0,0,47,0,0,0,40,0,64,0,0,0,0,0,0,,26,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,68,0,31,0,0,41,0,68,0,
2021-10-31,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,59,21,50,0,0,0,0,0,0,,34,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,79,82,35,0,0,37,0,60,0,
2021-11-07,0,,0,0,0,0,0,0,0,0,0,34,0,0,0,0,20,47,0,0,0,0,0,0,,31,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,76,74,33,0,0,50,0,52,0,
2021-11-14,0,,0,0,0,4,0,0,0,0,0,24,0,0,0,0,42,0,0,0,0,0,0,0,,26,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,100,76,39,0,0,69,0,0,0,
2021-11-21,0,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,34,73,0,0,0,0,0,0,,36,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,69,0,25,0,0,45,0,0,0,
2021-11-28,0,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,,24,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,61,0,23,0,0,42,0,0,0,
2021-12-05,0,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,29,49,0,0,0,0,0,0,,32,0,0,0,,0,0,0,0,0,,0,0,0,0,69,0,,56,0,25,0,0,46,0,0,100,
2021-12-12,0,,0,0,0,4,0,0,0,0,0,0,0,78,0,0,29,67,0,0,0,0,0,0,,30,0,0,0,,0,100,0,0,0,,0,0,0,0,0,0,,47,0,22,0,0,63,0,0,0,
2021-12-19,0,,0,0,0,7,0,0,0,0,0,0,0,0,0,52,23,0,0,0,0,0,0,0,,41,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,59,51,24,0,0,25,0,62,0,
2021-12-26,0,,0,0,0,6,0,0,0,0,0,49,0,0,0,54,28,0,0,0,0,0,0,24,,19,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,48,0,22,0,0,41,0,50,0,
2022-01-02,0,,0,0,0,16,0,0,0,0,0,0,0,0,0,44,39,73,0,0,0,0,0,0,,32,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,67,56,29,0,0,24,0,43,0,
2022-01-09,0,,0,0,0,14,0,0,0,0,0,0,0,0,0,71,64,73,0,0,0,0,0,26,,53,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,50,100,28,0,0,30,0,0,0,
2022-01-16,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,38,39,100,0,0,0,0,0,0,,43,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,54,0,25,0,0,34,0,0,0,
2022-01-23,0,,0,0,0,0,0,0,0,0,0,0,67,0,0,0,23,65,0,0,14,0,0,22,,39,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,42,0,19,0,0,33,0,0,0,
2022-01-30,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,,8,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,21,52,5,0,0,0,0,0,0,
2022-02-06,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50,73,0,0,0,0,0,22,,43,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,96,79,43,0,0,38,0,91,0,
2022-02-13,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,37,42,58,0,0,16,0,0,20,,37,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,84,41,43,0,0,20,0,47,0,
2022-02-20,0,,0,0,0,0,0,0,0,0,0,15,0,0,0,46,24,67,0,0,14,0,0,18,,43,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,82,60,45,0,0,35,0,97,0,
2022-02-27,0,,0,0,0,0,0,0,0,0,0,24,0,0,0,68,19,46,0,0,0,0,0,15,,32,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,47,33,28,0,0,29,0,0,0,
2022-03-06,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,64,25,64,0,0,11,0,0,26,,40,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,85,40,34,0,0,34,0,79,0,
2022-03-13,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,39,28,45,0,0,14,0,0,19,,37,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,72,54,44,0,0,21,0,58,0,
2022-03-20,0,,0,0,0,0,0,0,0,0,0,0,54,0,0,46,46,0,0,0,11,0,0,16,,28,0,0,78,,0,0,0,0,0,,0,0,0,0,0,0,,93,35,32,0,0,21,0,39,0,
2022-03-27,0,,0,0,0,0,0,0,29,0,0,0,0,0,0,57,37,42,0,0,9,0,0,0,,25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,68,30,30,0,0,14,0,35,0,
2022-04-03,34,,0,0,0,0,0,0,0,0,0,0,0,0,0,26,58,45,0,0,9,0,0,13,,25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,53,33,33,0,0,18,0,0,0,
2022-04-10,0,,0,0,0,0,0,0,0,0,0,25,0,0,0,28,31,67,0,0,8,0,0,0,,28,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,78,49,41,0,0,23,0,39,0,
2022-04-17,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,41,0,0,11,0,0,13,,29,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,58,48,30,0,0,17,0,0,0,
2022-04-24,0,,0,0,0,0,0,0,0,0,0,15,0,0,0,42,17,31,0,0,10,0,0,15,,24,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,53,55,32,0,0,0,0,0,0,
2022-05-01,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,8,0,0,0,,20,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,45,0,38,0,0,0,0,32,0,
